genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
australian dance,128.83333333333334,72.0,45.833333333333336,-4.5,10.166666666666666,53.833333333333336,243.0,20.0,11.5,62.333333333333336
big room,122.3,77.2,60.9,-4.9,15.6,41.0,209.9,10.2,4.6,65.6
boy band,116.13333333333334,80.26666666666667,63.8,-4.266666666666667,15.2,60.6,204.73333333333332,10.8,7.2,69.66666666666667
british soul,116.72727272727273,51.09090909090909,52.72727272727273,-10.818181818181818,12.454545454545455,35.0,255.27272727272728,33.0,4.363636363636363,62.18181818181818
brostep,121.0,77.5,60.5,-3.0,17.0,48.0,197.5,22.5,7.0,86.0
canadian contemporary r&b,127.0,64.77777777777777,54.55555555555556,-6.333333333333333,10.333333333333334,34.111111111111114,226.55555555555554,16.11111111111111,13.444444444444445,77.66666666666667
complextro,120.33333333333333,78.5,61.166666666666664,-3.5,9.5,43.0,228.0,14.0,5.333333333333333,67.33333333333333
downtempo,133.5,57.0,56.0,-7.0,15.5,33.0,183.0,15.5,10.5,61.5
edm,106.57142857142857,62.857142857142854,66.0,-7.0,12.571428571428571,56.0,198.85714285714286,8.428571428571429,6.285714285714286,73.0
electro,108.0,73.5,81.0,-8.5,9.0,76.5,301.0,6.0,5.0,74.5
electronic trap,98.0,76.0,74.5,-4.5,10.0,39.0,209.5,12.5,13.0,79.5
escape room,127.0,75.5,69.5,-3.0,43.0,44.5,166.0,20.5,8.5,90.0
hip hop,97.92857142857143,70.5,68.92857142857143,-6.142857142857143,22.214285714285715,42.57142857142857,260.7142857142857,15.214285714285714,14.857142857142858,63.857142857142854
latin,140.75,80.5,71.25,-4.0,18.5,64.75,211.25,12.75,9.25,62.25
neo mellow,109.11111111111111,40.666666666666664,52.77777777777778,-8.11111111111111,11.777777777777779,35.666666666666664,230.55555555555554,58.888888888888886,3.5555555555555554,60.0
other,114.18181818181819,65.18181818181819,61.18181818181818,-6.2727272727272725,18.09090909090909,44.81818181818182,233.9090909090909,12.909090909090908,7.818181818181818,63.63636363636363
permanent wave,137.25,65.0,42.75,-6.5,15.25,18.0,266.25,17.25,3.25,58.75
pop,118.91735537190083,71.19421487603306,65.45661157024793,-5.444214876033058,18.293388429752067,54.18181818181818,223.73553719008265,13.309917355371901,8.446280991735538,66.3698347107438
tropical house,132.66666666666666,73.66666666666667,49.0,-7.0,34.666666666666664,20.333333333333332,211.33333333333334,1.0,6.666666666666667,71.66666666666667
